Iteration Discrepancy
1 3.06105
2 0.5866
3 0.156863
4 0.0534768
5 0.0207254
6 0.00863169
7 0.00375469
8 0.00167454
9 0.000756859
10 0.00034442
11 0.000157262
12 7.19244e-05
13 3.29212e-05
14 1.50745e-05
15 6.90384e-06
16 3.16212e-06
17 1.44839e-06
18 6.63437e-07
19 3.03892e-07
20 1.39201e-07
21 6.37623e-08
22 2.9207e-08
23 1.33786e-08
24 6.12823e-09
25 2.80711e-09
26 1.28583e-09
27 5.88989e-10
28 2.69794e-10
29 1.23583e-10
30 5.66098e-11
31 2.59319e-11
32 1.18785e-11
33 5.44196e-12
34 2.49352e-12
35 1.14333e-12
36 5.24573e-13
37 2.42328e-13
38 1.08216e-13
