Iteration Discrepancy
1 8.21396
2 3.03653
3 1.23972
4 0.573978
5 0.296826
6 0.164432
7 0.0942631
8 0.0548834
9 0.0321793
10 0.0189292
11 0.0111531
12 0.00657712
13 0.00388056
14 0.00229028
15 0.00135199
16 0.00079822
17 0.000471326
18 0.00027833
19 0.000164373
20 9.70796e-05
21 5.73389e-05
22 3.38682e-05
23 2.00056e-05
24 1.18176e-05
25 6.98105e-06
26 4.12407e-06
27 2.43637e-06
28 1.43936e-06
29 8.50369e-07
30 5.02404e-07
31 2.9683e-07
32 1.75375e-07
33 1.03618e-07
34 6.12221e-08
35 3.61732e-08
36 2.13732e-08
37 1.26286e-08
38 7.46186e-09
39 4.40902e-09
40 2.60519e-09
41 1.53936e-09
42 9.09583e-10
43 5.37462e-10
44 3.17579e-10
45 1.87657e-10
46 1.10885e-10
47 6.55223e-11
48 3.87167e-11
49 2.28766e-11
50 1.35198e-11
51 7.98838e-12
52 4.72076e-12
53 2.79029e-12
54 1.6475e-12
55 9.72406e-13
56 5.73612e-13
57 3.39457e-13
58 2.0156e-13
