MatrixType,Size,Density,NonZero,TimeMicrosec,Iterations
Dense,50,1.0,2500,419,200
Dense,100,1.0,10000,904,100
Dense,150,1.0,22500,1534,66
Dense,200,1.0,40000,1984,50
Dense,250,1.0,62500,2443,40
Dense,300,1.0,90000,2880,33
Dense,350,1.0,122500,3803,28
Dense,400,1.0,160000,5355,25
Dense,450,1.0,202500,4677,22
Dense,500,1.0,250000,6519,20
Dense,550,1.0,302500,7320,18
Dense,600,1.0,360000,8760,16
Dense,650,1.0,422500,8343,15
Dense,700,1.0,490000,9798,14
Dense,750,1.0,562500,10401,13
Dense,800,1.0,640000,9655,12
Dense,850,1.0,722500,10790,11
Dense,900,1.0,810000,11420,11
Dense,950,1.0,902500,12619,10
Dense,1000,1.0,1000000,13937,10
CSR,50,0.01,25,23,200
CSR,50,0.05,125,40,200
CSR,50,0.1,250,63,200
CSR,50,0.2,500,116,200
CSR,50,0.5,1250,285,200
CSR,50,1,2500,459,200
CSR,100,0.01,100,27,100
CSR,100,0.05,500,56,100
CSR,100,0.1,1000,74,100
CSR,100,0.2,2000,150,100
CSR,100,0.5,5000,477,100
CSR,100,1,10000,1020,100
CSR,150,0.01,225,26,66
CSR,150,0.05,1125,60,66
CSR,150,0.1,2250,111,66
CSR,150,0.2,4500,342,66
CSR,150,0.5,11250,661,66
CSR,150,1,22500,1595,66
CSR,200,0.01,400,30,50
CSR,200,0.05,2000,77,50
CSR,200,0.1,4000,156,50
CSR,200,0.2,8000,555,50
CSR,200,0.5,20000,963,50
CSR,200,1,40000,2031,50
CSR,250,0.01,625,38,40
CSR,250,0.05,3125,189,40
CSR,250,0.1,6250,214,40
CSR,250,0.2,12500,584,40
CSR,250,0.5,31250,1221,40
CSR,250,1,62500,2862,40
CSR,300,0.01,900,40,33
CSR,300,0.05,4500,114,33
CSR,300,0.1,9000,359,33
CSR,300,0.2,18000,534,33
CSR,300,0.5,45000,1592,33
CSR,300,1,90000,3583,33
CSR,350,0.01,1225,51,28
CSR,350,0.05,6125,143,28
CSR,350,0.1,12250,443,28
CSR,350,0.2,24500,718,28
CSR,350,0.5,61250,1796,28
CSR,350,1,122500,3893,28
CSR,400,0.01,1600,60,25
CSR,400,0.05,8000,229,25
CSR,400,0.1,16000,349,25
CSR,400,0.2,32000,762,25
CSR,400,0.5,80000,2085,25
CSR,400,1,160000,5599,25
CSR,450,0.01,2025,46,22
CSR,450,0.05,10125,190,22
CSR,450,0.1,20250,385,22
CSR,450,0.2,40500,880,22
CSR,450,0.5,101250,2296,22
CSR,450,1,202500,4966,22
CSR,500,0.01,2500,50,20
CSR,500,0.05,12500,222,20
CSR,500,0.1,25000,439,20
CSR,500,0.2,50000,1141,20
CSR,500,0.5,125000,2662,20
CSR,500,1,250000,5587,20
CSR,550,0.01,3025,70,18
CSR,550,0.05,15125,268,18
CSR,550,0.1,30250,624,18
CSR,550,0.2,60500,1283,18
CSR,550,0.5,151250,2904,18
CSR,550,1,302500,6335,18
CSR,600,0.01,3600,55,16
CSR,600,0.05,18000,257,16
CSR,600,0.1,36000,532,16
CSR,600,0.2,72000,1135,16
CSR,600,0.5,180000,3572,16
CSR,600,1,360000,6930,16
CSR,650,0.01,4225,59,15
CSR,650,0.05,21125,408,15
CSR,650,0.1,42250,651,15
CSR,650,0.2,84500,1596,15
CSR,650,0.5,211250,3846,15
CSR,650,1,422500,8526,15
CSR,700,0.01,4900,68,14
CSR,700,0.05,24500,472,14
CSR,700,0.1,49000,750,14
CSR,700,0.2,98000,1384,14
CSR,700,0.5,245000,4336,14
CSR,700,1,490000,8011,14
CSR,750,0.01,5625,65,13
CSR,750,0.05,28125,583,13
CSR,750,0.1,56250,765,13
CSR,750,0.2,112500,1630,13
CSR,750,0.5,281250,4207,13
CSR,750,1,562500,8681,13
CSR,800,0.01,6400,97,12
CSR,800,0.05,32000,353,12
CSR,800,0.1,64000,766,12
CSR,800,0.2,128000,1580,12
CSR,800,0.5,320000,4626,12
CSR,800,1,640000,9094,12
CSR,850,0.01,7225,73,11
CSR,850,0.05,36125,351,11
CSR,850,0.1,72250,2007,11
CSR,850,0.2,144500,2041,11
CSR,850,0.5,361250,3978,11
CSR,850,1,722500,7967,11
CSR,900,0.01,8100,118,11
CSR,900,0.05,40500,277,11
CSR,900,0.1,81000,599,11
CSR,900,0.2,162000,1482,11
CSR,900,0.5,405000,4013,11
CSR,900,1,810000,7923,11
CSR,950,0.01,9025,122,10
CSR,950,0.05,45125,263,10
CSR,950,0.1,90250,631,10
CSR,950,0.2,180500,1497,10
CSR,950,0.5,451250,4118,10
CSR,950,1,902500,8808,10
CSR,1000,0.01,10000,60,10
CSR,1000,0.05,50000,624,10
CSR,1000,0.1,100000,650,10
CSR,1000,0.2,200000,1446,10
CSR,1000,0.5,500000,4205,10
CSR,1000,1,1000000,10291,10
